sequence,episode_id,condition,object_name,target_class,expected_strategy,instance_id,replicate,distractor,instruction
50,OCC_SCISSORS_R05,occlusion50,scissors,scissors,hard,A,5,,"Put scissors in the marked target square, 3 cm AWAY from the camera from center, in its nominal orientation. Cover about 50% of its visible silhouette from the LEFT with a matte card."
51,OCC_SCISSORS_R01,occlusion50,scissors,scissors,hard,A,1,,"Put scissors in the marked target square, at the CENTER mark, in its nominal orientation. Cover about 50% of its visible silhouette from the LEFT with a matte card."
52,OCC_BANANA_R04,occlusion50,banana,banana,soft,A,4,,"Put banana in the marked target square, 3 cm TOWARD the camera from center, in its nominal orientation. Cover about 50% of its visible silhouette from the RIGHT with a matte card."
53,OCC_SCISSORS_R04,occlusion50,scissors,scissors,hard,A,4,,"Put scissors in the marked target square, 3 cm TOWARD the camera from center, in its nominal orientation. Cover about 50% of its visible silhouette from the RIGHT with a matte card."
54,OCC_BOTTLE_R05,occlusion50,bottle,bottle,medium,A,5,,"Put bottle in the marked target square, 3 cm AWAY from the camera from center, in its nominal orientation. Cover about 50% of its visible silhouette from the LEFT with a matte card."
55,OCC_BANANA_R03,occlusion50,banana,banana,soft,A,3,,"Put banana in the marked target square, 3 cm RIGHT of center, in its nominal orientation. Cover about 50% of its visible silhouette from the LEFT with a matte card."
56,OCC_SCISSORS_R02,occlusion50,scissors,scissors,hard,A,2,,"Put scissors in the marked target square, 3 cm LEFT of center, in its nominal orientation. Cover about 50% of its visible silhouette from the RIGHT with a matte card."
57,OCC_SCISSORS_R03,occlusion50,scissors,scissors,hard,A,3,,"Put scissors in the marked target square, 3 cm RIGHT of center, in its nominal orientation. Cover about 50% of its visible silhouette from the LEFT with a matte card."
58,OCC_BOTTLE_R04,occlusion50,bottle,bottle,medium,A,4,,"Put bottle in the marked target square, 3 cm TOWARD the camera from center, in its nominal orientation. Cover about 50% of its visible silhouette from the RIGHT with a matte card."
59,OCC_BOTTLE_R02,occlusion50,bottle,bottle,medium,A,2,,"Put bottle in the marked target square, 3 cm LEFT of center, in its nominal orientation. Cover about 50% of its visible silhouette from the RIGHT with a matte card."
60,OCC_BANANA_R01,occlusion50,banana,banana,soft,A,1,,"Put banana in the marked target square, at the CENTER mark, in its nominal orientation. Cover about 50% of its visible silhouette from the LEFT with a matte card."
61,CLU_BOTTLE_R05,clutter,bottle,bottle,medium,A,5,,"Put bottle in the marked target square, 3 cm AWAY from the camera from center, in its nominal orientation. Place the same three clutter items outside the square: keys, tape roll, and ruler."
62,CLU_SCISSORS_R04,clutter,scissors,scissors,hard,A,4,,"Put scissors in the marked target square, 3 cm TOWARD the camera from center, in its nominal orientation. Place the same three clutter items outside the square: keys, tape roll, and ruler."
63,CLU_BOTTLE_R02,clutter,bottle,bottle,medium,A,2,,"Put bottle in the marked target square, 3 cm LEFT of center, in its nominal orientation. Place the same three clutter items outside the square: keys, tape roll, and ruler."
64,CLU_BANANA_R04,clutter,banana,banana,soft,A,4,,"Put banana in the marked target square, 3 cm TOWARD the camera from center, in its nominal orientation. Place the same three clutter items outside the square: keys, tape roll, and ruler."
65,CLU_SCISSORS_R01,clutter,scissors,scissors,hard,A,1,,"Put scissors in the marked target square, at the CENTER mark, in its nominal orientation. Place the same three clutter items outside the square: keys, tape roll, and ruler."
66,CLU_BANANA_R02,clutter,banana,banana,soft,A,2,,"Put banana in the marked target square, 3 cm LEFT of center, in its nominal orientation. Place the same three clutter items outside the square: keys, tape roll, and ruler."
67,CLU_BANANA_R03,clutter,banana,banana,soft,A,3,,"Put banana in the marked target square, 3 cm RIGHT of center, in its nominal orientation. Place the same three clutter items outside the square: keys, tape roll, and ruler."
68,CLU_BANANA_R01,clutter,banana,banana,soft,A,1,,"Put banana in the marked target square, at the CENTER mark, in its nominal orientation. Place the same three clutter items outside the square: keys, tape roll, and ruler."
69,CLU_SCISSORS_R03,clutter,scissors,scissors,hard,A,3,,"Put scissors in the marked target square, 3 cm RIGHT of center, in its nominal orientation. Place the same three clutter items outside the square: keys, tape roll, and ruler."
70,CLU_SCISSORS_R05,clutter,scissors,scissors,hard,A,5,,"Put scissors in the marked target square, 3 cm AWAY from the camera from center, in its nominal orientation. Place the same three clutter items outside the square: keys, tape roll, and ruler."
71,CLU_SCISSORS_R02,clutter,scissors,scissors,hard,A,2,,"Put scissors in the marked target square, 3 cm LEFT of center, in its nominal orientation. Place the same three clutter items outside the square: keys, tape roll, and ruler."
72,CLU_BOTTLE_R01,clutter,bottle,bottle,medium,A,1,,"Put bottle in the marked target square, at the CENTER mark, in its nominal orientation. Place the same three clutter items outside the square: keys, tape roll, and ruler."
73,CLU_BOTTLE_R04,clutter,bottle,bottle,medium,A,4,,"Put bottle in the marked target square, 3 cm TOWARD the camera from center, in its nominal orientation. Place the same three clutter items outside the square: keys, tape roll, and ruler."
74,CLU_BANANA_R05,clutter,banana,banana,soft,A,5,,"Put banana in the marked target square, 3 cm AWAY from the camera from center, in its nominal orientation. Place the same three clutter items outside the square: keys, tape roll, and ruler."
75,CLU_BOTTLE_R03,clutter,bottle,bottle,medium,A,3,,"Put bottle in the marked target square, 3 cm RIGHT of center, in its nominal orientation. Place the same three clutter items outside the square: keys, tape roll, and ruler."
76,MUL_SCISSORS_R05,multiobject,scissors,scissors,hard,A,5,banana,"Put scissors in the marked target square, 3 cm AWAY from the camera from center, in its nominal orientation. Put banana 12-15 cm to the LEFT, at the same depth as the target."
77,MUL_SCISSORS_R04,multiobject,scissors,scissors,hard,A,4,banana,"Put scissors in the marked target square, 3 cm TOWARD the camera from center, in its nominal orientation. Put banana 12-15 cm to the RIGHT, at the same depth as the target."
78,MUL_SCISSORS_R01,multiobject,scissors,scissors,hard,A,1,banana,"Put scissors in the marked target square, at the CENTER mark, in its nominal orientation. Put banana 12-15 cm to the LEFT, at the same depth as the target."
79,MUL_BANANA_R03,multiobject,banana,banana,soft,A,3,bottle,"Put banana in the marked target square, 3 cm RIGHT of center, in its nominal orientation. Put bottle 12-15 cm to the LEFT, at the same depth as the target."
80,MUL_BOTTLE_R03,multiobject,bottle,bottle,medium,A,3,scissors,"Put bottle in the marked target square, 3 cm RIGHT of center, in its nominal orientation. Put scissors 12-15 cm to the LEFT, at the same depth as the target."
81,MUL_BANANA_R01,multiobject,banana,banana,soft,A,1,bottle,"Put banana in the marked target square, at the CENTER mark, in its nominal orientation. Put bottle 12-15 cm to the LEFT, at the same depth as the target."
82,MUL_SCISSORS_R02,multiobject,scissors,scissors,hard,A,2,banana,"Put scissors in the marked target square, 3 cm LEFT of center, in its nominal orientation. Put banana 12-15 cm to the RIGHT, at the same depth as the target."
83,MUL_BANANA_R02,multiobject,banana,banana,soft,A,2,bottle,"Put banana in the marked target square, 3 cm LEFT of center, in its nominal orientation. Put bottle 12-15 cm to the RIGHT, at the same depth as the target."
84,MUL_BOTTLE_R02,multiobject,bottle,bottle,medium,A,2,scissors,"Put bottle in the marked target square, 3 cm LEFT of center, in its nominal orientation. Put scissors 12-15 cm to the RIGHT, at the same depth as the target."
85,MUL_SCISSORS_R03,multiobject,scissors,scissors,hard,A,3,banana,"Put scissors in the marked target square, 3 cm RIGHT of center, in its nominal orientation. Put banana 12-15 cm to the LEFT, at the same depth as the target."
86,MUL_BOTTLE_R04,multiobject,bottle,bottle,medium,A,4,scissors,"Put bottle in the marked target square, 3 cm TOWARD the camera from center, in its nominal orientation. Put scissors 12-15 cm to the RIGHT, at the same depth as the target."
87,MUL_BANANA_R05,multiobject,banana,banana,soft,A,5,bottle,"Put banana in the marked target square, 3 cm AWAY from the camera from center, in its nominal orientation. Put bottle 12-15 cm to the LEFT, at the same depth as the target."
88,MUL_BANANA_R04,multiobject,banana,banana,soft,A,4,bottle,"Put banana in the marked target square, 3 cm TOWARD the camera from center, in its nominal orientation. Put bottle 12-15 cm to the RIGHT, at the same depth as the target."
89,MUL_BOTTLE_R05,multiobject,bottle,bottle,medium,A,5,scissors,"Put bottle in the marked target square, 3 cm AWAY from the camera from center, in its nominal orientation. Put scissors 12-15 cm to the LEFT, at the same depth as the target."
90,MUL_BOTTLE_R01,multiobject,bottle,bottle,medium,A,1,scissors,"Put bottle in the marked target square, at the CENTER mark, in its nominal orientation. Put scissors 12-15 cm to the LEFT, at the same depth as the target."
91,INS_SCISSORS_R05,new_instance,scissors,scissors,hard,B,5,,"Put scissors in the marked target square, 3 cm AWAY from the camera from center, in its nominal orientation. Use physical instance B (different item of the SAME semantic class)."
92,INS_BOTTLE_R03,new_instance,bottle,bottle,medium,B,3,,"Put bottle in the marked target square, 3 cm RIGHT of center, in its nominal orientation. Use physical instance B (different item of the SAME semantic class)."
93,INS_SCISSORS_R04,new_instance,scissors,scissors,hard,B,4,,"Put scissors in the marked target square, 3 cm TOWARD the camera from center, in its nominal orientation. Use physical instance B (different item of the SAME semantic class)."
94,INS_BANANA_R05,new_instance,banana,banana,soft,B,5,,"Put banana in the marked target square, 3 cm AWAY from the camera from center, in its nominal orientation. Use physical instance B (different item of the SAME semantic class)."
95,INS_BOTTLE_R01,new_instance,bottle,bottle,medium,B,1,,"Put bottle in the marked target square, at the CENTER mark, in its nominal orientation. Use physical instance B (different item of the SAME semantic class)."
96,INS_BANANA_R02,new_instance,banana,banana,soft,B,2,,"Put banana in the marked target square, 3 cm LEFT of center, in its nominal orientation. Use physical instance B (different item of the SAME semantic class)."
97,INS_BOTTLE_R02,new_instance,bottle,bottle,medium,B,2,,"Put bottle in the marked target square, 3 cm LEFT of center, in its nominal orientation. Use physical instance B (different item of the SAME semantic class)."
98,INS_BANANA_R03,new_instance,banana,banana,soft,B,3,,"Put banana in the marked target square, 3 cm RIGHT of center, in its nominal orientation. Use physical instance B (different item of the SAME semantic class)."
99,INS_BOTTLE_R05,new_instance,bottle,bottle,medium,B,5,,"Put bottle in the marked target square, 3 cm AWAY from the camera from center, in its nominal orientation. Use physical instance B (different item of the SAME semantic class)."
100,INS_SCISSORS_R02,new_instance,scissors,scissors,hard,B,2,,"Put scissors in the marked target square, 3 cm LEFT of center, in its nominal orientation. Use physical instance B (different item of the SAME semantic class)."
101,INS_BOTTLE_R04,new_instance,bottle,bottle,medium,B,4,,"Put bottle in the marked target square, 3 cm TOWARD the camera from center, in its nominal orientation. Use physical instance B (different item of the SAME semantic class)."
102,INS_SCISSORS_R03,new_instance,scissors,scissors,hard,B,3,,"Put scissors in the marked target square, 3 cm RIGHT of center, in its nominal orientation. Use physical instance B (different item of the SAME semantic class)."
103,INS_SCISSORS_R01,new_instance,scissors,scissors,hard,B,1,,"Put scissors in the marked target square, at the CENTER mark, in its nominal orientation. Use physical instance B (different item of the SAME semantic class)."
104,INS_BANANA_R04,new_instance,banana,banana,soft,B,4,,"Put banana in the marked target square, 3 cm TOWARD the camera from center, in its nominal orientation. Use physical instance B (different item of the SAME semantic class)."
105,INS_BANANA_R01,new_instance,banana,banana,soft,B,1,,"Put banana in the marked target square, at the CENTER mark, in its nominal orientation. Use physical instance B (different item of the SAME semantic class)."
106,UNK_STAPLER_R02,unknown,stapler,__unknown__,unknown,A,2,,"Put the unknown item 'stapler' alone in the marked target square, 3 cm LEFT of center."
107,UNK_CARDBOARD-BOX_R03,unknown,cardboard box,__unknown__,unknown,A,3,,"Put the unknown item 'cardboard box' alone in the marked target square, 3 cm RIGHT of center."
108,UNK_TAPE-MEASURE_R01,unknown,tape measure,__unknown__,unknown,A,1,,"Put the unknown item 'tape measure' alone in the marked target square, at the CENTER mark."
109,UNK_CARDBOARD-BOX_R01,unknown,cardboard box,__unknown__,unknown,A,1,,"Put the unknown item 'cardboard box' alone in the marked target square, at the CENTER mark."
110,UNK_SPONGE_R02,unknown,sponge,__unknown__,unknown,A,2,,"Put the unknown item 'sponge' alone in the marked target square, 3 cm LEFT of center."
111,UNK_SCREWDRIVER_R01,unknown,screwdriver,__unknown__,unknown,A,1,,"Put the unknown item 'screwdriver' alone in the marked target square, at the CENTER mark."
112,UNK_SPONGE_R01,unknown,sponge,__unknown__,unknown,A,1,,"Put the unknown item 'sponge' alone in the marked target square, at the CENTER mark."
113,UNK_STAPLER_R03,unknown,stapler,__unknown__,unknown,A,3,,"Put the unknown item 'stapler' alone in the marked target square, 3 cm RIGHT of center."
114,UNK_SCREWDRIVER_R03,unknown,screwdriver,__unknown__,unknown,A,3,,"Put the unknown item 'screwdriver' alone in the marked target square, 3 cm RIGHT of center."
115,UNK_TAPE-MEASURE_R03,unknown,tape measure,__unknown__,unknown,A,3,,"Put the unknown item 'tape measure' alone in the marked target square, 3 cm RIGHT of center."
116,UNK_TAPE-MEASURE_R02,unknown,tape measure,__unknown__,unknown,A,2,,"Put the unknown item 'tape measure' alone in the marked target square, 3 cm LEFT of center."
117,UNK_SCREWDRIVER_R02,unknown,screwdriver,__unknown__,unknown,A,2,,"Put the unknown item 'screwdriver' alone in the marked target square, 3 cm LEFT of center."
118,UNK_SPONGE_R03,unknown,sponge,__unknown__,unknown,A,3,,"Put the unknown item 'sponge' alone in the marked target square, 3 cm RIGHT of center."
119,UNK_STAPLER_R01,unknown,stapler,__unknown__,unknown,A,1,,"Put the unknown item 'stapler' alone in the marked target square, at the CENTER mark."
120,UNK_CARDBOARD-BOX_R02,unknown,cardboard box,__unknown__,unknown,A,2,,"Put the unknown item 'cardboard box' alone in the marked target square, 3 cm LEFT of center."
